Course Name, Enrollment Term 
New, 1
Template, 1
Earning, 1
MFT6220, 19
EDCO6674, 19
MFT6620, 19
CPY7033, 19
ORG6001, 19
EDCO6676, 19
EDCO6672, 19
CPY7101, 19
CPY7200, 19
MFT6655, 19
EDCO6931, 19
EDCO6940, 19
PSY4488, 19
ENG4953, 16
ENG4954, 16
EDRD3530, 17
FCS3710, 16
EDU6139, 14
MUS1050, 14
EDU3361, 17
EDU6085, 14
MDFT6651, 19
FERPA, 1
Undergrad, 1
BUS6171, 21
NUR6959, 21
CPY7020, 21
CPY7110, 21
UFDN3100, 21
BUS2910, 21
BUS3541, 21
BUS3548, 21
BUS4690, 21
BUS4942, 21
ECN2101, 21
POL3780, 21
BUS2000, 21
BUS2000, 21
BUS4690, 21
CPY7240, 21
CPY7330, 21
EDCO6130, 21
EDCO6675, 21
EDCO6679, 21
EDCO6680, 21
EDRD6506, 21
EDRD6508, 21
UCOR3000, 21
COM3001, 21
BIO2129, 21
BIO2130, 21
FCS3870, 21
PSY1180, 21
EDU6085, 21
EDU6085, 21
EDU6120, 21
EDU6132, 21
EDU6150, 21
EDU6526, 21
EDU6975, 21
EDU6976, 21
EDU6978, 21
EDU7101, 21
EDU7106, 21
EDU7110, 21
EDU7974, 21
EDU7990, 21
TESL6931, 21
MFT6310, 21
MFT6340, 21
MFT6370, 21
MFT6401, 21
MFT6642, 21
MFT6936, 21
BIO4256, 21
PHY1135, 21
BUS6260, 21
ECN2102, 21
POL4899, 21
EDU6085, 21
EDU6120, 21
EDAD6580, 21
EDAD6585, 21
EDAD6586, 21
EDAD6589, 21
EDU6120, 21
BUS3250, 21
FCS2820, 21
FCS3890, 21
BUS1700, 21
BUS3828, 21
BUS6130, 21
MUS3501, 21
POL2642, 21
ISM6910, 21
BUS6280, 21
ORG6000, 21
ORG6034, 21
NUR6910, 21
EDU6150, 21
EDU6085, 21
NUR6040, 21
EDU6132, 21
EDU6613, 21
EDU6120, 21
EDU6526, 21
PSY2360, 21
EDSP6657, 21
EDRD6530, 21
TESL6581, 21
PES5075, 20
CEU2318, 20
CEU3142, 20
CEU3141, 20
UCOR2000, 23
ISM6231, 23
BUS3950, 23
UCOR2000, 23
NUR4971, 23
BIO1859, 23
ART3608, 23
MAT1234, 23
CSC3150, 23
FCS1050, 23
FCS3240, 23
FCS4340, 23
FCS4899, 23
POL1110, 23
BUS3950, 23
MUS2560, 23
Crosslisted, 23
ECN2102, 23
EDCO6677, 23
EGR2891, 23
EGR3611, 23
MAT1236, 23
MAT1560, 23
THEO6001, 23
THEO6010, 23
THEO6020, 23
THEO6030, 23
MDFT6930, 23
PHY2567, 23
EDU6120, 23
EDU6120, 23
SOC1110, 23
UCOR3000, 23
POL2330, 23
PHY2321, 23
FCS3714, 23
FCS4843, 23
MAT3562, 23
THEO2730, 23
ART4210, 23
THEO6930, 23
HIS2502, 23
FCS3875, 23
UFDN2000, 23
EDU6160, 23
SPN1101, 23
MUS4943, 23
EDRD3530, 23
EDRD3516, 23
ART2205, 23
ART3202, 23
ART4966, 23
BUS6201, 23
CPY7000, 23
FCS4510, 23
ENG3317, 23
HIS3765, 23
UFDN2000, 23
EDU2600, 23
CHM1211, 23
BIO3899, 23
BIO3310, 23
UCOR3000, 23
TRE3800, 23
MAT3724, 23
LIN2100, 23
FCS3352, 23
BUS6110, 23
BUS6271, 23
BUS2414, 23
UFDN3100, 23
ENG3334, 23
ENG3301, 23
ENG2251, 23
CHM1310, 23
CHM3423, 23
MAT3100, 23
THEO2721, 23
MUS4501, 23
BIO4978, 23
BIO3325, 23
CHM1100, 23
CSC1230, 23
PSY1180, 23
ACCT2362, 23
ACCT3351, 23
EDCO6670, 23
EDCO6671, 23
EDCO6940, 23
EDRD6641, 23
BUS6130, 23
ART1102, 23
ART4966, 23
PHI2222, 23
BUS1700, 23
BUS2000, 23
MAT2360, 23
CSC4898, 23
MFT6937, 23
BIO4415, 23
FCS1710, 23
FCS2375, 23
POL1120, 23
ART3700, 23
MUS3402, 23
TESL6930, 23
ART4205, 23
FCS3340, 23
JRN2101, 23
COM3001, 23
FRE2101, 23
FCS3875, 23
BIO4360, 23
EDU7102, 23
EDU7115, 23
EDU7120, 23
EDU7300, 23
PSY4485, 23
PHY2567, 23
HSC3035, 23
EDU6133, 23
BIO1103, 23
COM1101, 23
NUR6710, 23
EDAD6580, 23
UFDN3001, 23
ART1180, 23
COM1101, 23
EDTC6433, 23
EGR4950, 23
NUR6110, 23
ART3507, 23
SOC1110, 23
CSC4800, 23
EDU6130, 23
EDU6130, 23
EDU6134, 23
SPN2101, 23
EDU4530, 23
EDCO6600, 23
BUS3700, 23
FCS2365, 23
FCS2820, 23
EGR3500, 23
EDU6130, 23
EDU6134, 23
FCS3823, 23
FCS3890, 23
FCS1710, 23
